Invoice No,actual_shipment_date,Cust Po,Pick Ticket,customer.customer_id,customer.customer_name,order_number,PO Date,product.ndc,product.description,Category,Source,Batch,Exp Date,shipped_quantity,Size/dimensions,Pill Count,unit_selling_price,Freight,Gross_sales,Discount,Final Inv Amt,MM-YEAR,Contract ID,DEANO,DEA Exp Date,State Lic,State Lic Exp Dt,Ship To Code,Customer Name,STREET,address.city,address.state,address.postal_code,Shipping Method,Trecking No,Rxtpl Delivery No,RxtplInvoiceNo,Transfer_price,contract_price,ordered_quantity
6027776,2/28/2023,8110532838,20127888,1020909,MCKESSON FINANCIAL CENTER,1027874,3/1/2023,70756-609-15,"OFLOXACIN OTIC SOLUTION, 0.3% (5ML FILL)",Non-controlled,MANKIND PHARMA LTD- UNIT 3(BLOCK D),B1JXV015,11/30/2024,48,5 ML,0,15,0,720,0,720,Mar-23,LPMCK001,PM0020850,12/31/2023,WD383,11/30/2023,1020910,MCKESSON DC# 8110,9 AEGEAN DR,METHUEN,MA,01844-1596,,1ZA02E120305019093,,,,,,
6027777,2/28/2023,8131727158,20127851,1020909,MCKESSON FINANCIAL CENTER,1027905,3/1/2023,70756-085-11,"BACLOFEN TABLETS 5MG, 100CT.",Non-controlled,MANKIND PHARMA LTD UNIT-3,YYJKV006,8/31/2024,24,100CT.,0,35,0,840,0,840,Mar-23,LPMCK001,PM0018425,12/31/2023,WHI.0006034,10/31/2024,1020917,MCKESSON DC# 8131,14500 E. 39TH AVE,AURORA,CO,80011-1210,,,,,,,,
6027777,2/28/2023,8131727158,20127851,1020909,MCKESSON FINANCIAL CENTER,1027905,3/1/2023,70756-288-11,"BACLOFEN TABLETS 10MG, 100CT.",Non-controlled,MANKIND PHARMA LTD UNIT-3,XBJKV004,9/30/2024,24,100CT.,0,6,0,144,0,144,Mar-23,LPMCK001,PM0018425,12/31/2023,WHI.0006034,10/31/2024,1020917,MCKESSON DC# 8131,14500 E. 39TH AVE,AURORA,CO,80011-1210,,1ZA02E120305019520 1ZA02E120305019520,,,,,,
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-622-10,"PHENYLEPHRINE HCL INJECTION USP, 10X5ML",Non-controlled,MANKIND PHARMA LTD UNIT-3,RKJKV003,9/30/2024,2,10X5ML VIALS,0,125,0,250,0,250,Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,1ZA02E120305019477 1ZA02E120305019477 1ZA02E120305019477 1ZA02E120305019477,,,,,,
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-629-25,"PHENYLEPHRINE HCL OPH SOLN., USP, 2.5%",Non-controlled,MANKIND PHARMA LTD- UNIT 3(BLOCK D),B5JXV002,8/31/2024,192,2ML,0,32.5,0,"6,240.00",0,"6,240.00",Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,1ZA02E120305019468 1ZA02E120305019468 1ZA02E120305019468,,,,,,
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-610-30,"OFLOXACIN OTIC SOLUTION, 0.3%(10ML FILL)",Non-controlled,MANKIND PHARMA LTD- UNIT 3(BLOCK D),A9JXV014,10/31/2024,288,10ML,0,30,0,"8,640.00",0,"8,640.00",Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,,,,,,,
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-424-11,"DOXEPIN HCL CAPS, USP 10 MG 100S",Non-controlled,MANKIND PHARMA LTD UNIT-3,4CJKV009,9/30/2024,120,100CT.,0,17.25,0,"2,070.00",0,"2,070.00",Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,,,,,,,
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-425-11,"DOXEPIN HCL CAPS, USP 25 MG 100S",Non-controlled,MANKIND PHARMA LTD UNIT-3,8CJKV004,8/31/2024,48,100CT.,0,21.56,0,"1,034.88",0,"1,034.88",Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,,,,,,,
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-426-11,"DOXEPIN HCL CAPS, USP 50 MG 100S",Non-controlled,MANKIND PHARMA LTD UNIT-3,2DJKV004,9/30/2024,24,100CT.,0,32.34,0,776.16,0,776.16,Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,,,,,,,
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-427-11,"DOXEPIN HCL CAPS, USP 75 MG 100S",Non-controlled,MANKIND PHARMA LTD UNIT-3,6DJKV003,4/30/2024,24,100CT.,0,49.59,0,"1,190.16",0,"1,190.16",Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,,,,,,,
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-428-11,"DOXEPIN HCL CAPS, USP 100 MG 100S",Non-controlled,MANKIND PHARMA LTD UNIT-3,0EJKV004,9/30/2024,48,100CT.,0,53.9,0,"2,587.20",0,"2,587.20",Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,,,,,,,
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-807-90,LANSOPRAZOLE DELAYED RELEASE CAPSULES 30,Non-controlled,Inventia Healthcare Limited,A2IOV011,6/30/2024,72,90,"6,480.00",8.65,0,622.8,0,622.8,Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,,,,,,,
