Invoice No,Invoice Dt,Sales Order No,Pick Ticket,Sold To Party,Sold To Party Desc,Cust Po,PO Date,NDC No.,NDC Desc,Category,Source,Batch,Exp Date,Qty,Size/dimensions,Pill Count,Price,Freight,Invoice Amt,Discount,Final Inv Amt,MM-YEAR,Contract ID,DEANO,DEA Exp Date,State Lic.,State Lic Exp Dt,Ship To Code,Customer Name,STREET,City,State,Zip,Shipping Method,Trecking No.,Rxtpl Delivery No.,Rxtpl Invoice  No.
0006027776,Wed Mar 01 2023 05:30:00 GMT+0530 (India Standard Time),0001027874,0020127888,0001020909,MCKESSON FINANCIAL CENTER,8110532838,Tue Feb 28 2023 05:30:00 GMT+0530 (India Standard Time),70756-609-15,OFLOXACIN OTIC SOLUTION, 0.3% (5ML FILL),Non-controlled,MANKIND PHARMA LTD- UNIT 3(BLOCK D),B1JXV015,Sat Nov 30 2024 05:30:00 GMT+0530 (India Standard Time),48,5 ML,0,15,0,720,0,720,03/2023,LPMCK001,PM0020850,Sun Dec 31 2023 05:30:00 GMT+0530 (India Standard Time),WD383,Thu Nov 30 2023 05:30:00 GMT+0530 (India Standard Time),0001020910,MCKESSON DC# 8110,9 AEGEAN DR,METHUEN,MA,01844-1596,,1ZA02E120305019093,,
0006027777,Wed Mar 01 2023 05:30:00 GMT+0530 (India Standard Time),0001027905,0020127851,0001020909,MCKESSON FINANCIAL CENTER,8131727158,Tue Feb 28 2023 05:30:00 GMT+0530 (India Standard Time),70756-085-11,BACLOFEN TABLETS 5MG, 100CT.,Non-controlled,MANKIND PHARMA LTD UNIT-3,YYJKV006,Sat Aug 31 2024 05:30:00 GMT+0530 (India Standard Time),24,100CT.,0,35,0,840,0,840,03/2023,LPMCK001,PM0018425,Sun Dec 31 2023 05:30:00 GMT+0530 (India Standard Time),WHI.0006034,Thu Oct 31 2024 05:30:00 GMT+0530 (India Standard Time),0001020917,MCKESSON DC# 8131,14500 E. 39TH AVE,AURORA,CO,80011-1210,,,,
0006027777,Wed Mar 01 2023 05:30:00 GMT+0530 (India Standard Time),0001027905,0020127851,0001020909,MCKESSON FINANCIAL CENTER,8131727158,Tue Feb 28 2023 05:30:00 GMT+0530 (India Standard Time),70756-288-11,BACLOFEN TABLETS 10MG, 100CT.,Non-controlled,MANKIND PHARMA LTD UNIT-3,XBJKV004,Mon Sep 30 2024 05:30:00 GMT+0530 (India Standard Time),24,100CT.,0,6,0,144,0,144,03/2023,LPMCK001,PM0018425,Sun Dec 31 2023 05:30:00 GMT+0530 (India Standard Time),WHI.0006034,Thu Oct 31 2024 05:30:00 GMT+0530 (India Standard Time),0001020917,MCKESSON DC# 8131,14500 E. 39TH AVE,AURORA,CO,80011-1210,,1ZA02E120305019520 1ZA02E120305019520,,
0006027778,Wed Mar 01 2023 05:30:00 GMT+0530 (India Standard Time),0001027911,0020127845,0001020909,MCKESSON FINANCIAL CENTER,8155947714,Tue Feb 28 2023 05:30:00 GMT+0530 (India Standard Time),70756-622-10,PHENYLEPHRINE HCL INJECTION USP, 10X5ML,Non-controlled,MANKIND PHARMA LTD UNIT-3,RKJKV003,Mon Sep 30 2024 05:30:00 GMT+0530 (India Standard Time),2,10X5ML VIALS,0,125,0,250,0,250,03/2023,LPMCK001,RM0456411,Sun Dec 31 2023 05:30:00 GMT+0530 (India Standard Time),,,0001020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,08691,,1ZA02E120305019477 1ZA02E120305019477 1ZA02E120305019477 1ZA02E120305019477,,
0006027778,Wed Mar 01 2023 05:30:00 GMT+0530 (India Standard Time),0001027911,0020127845,0001020909,MCKESSON FINANCIAL CENTER,8155947714,Tue Feb 28 2023 05:30:00 GMT+0530 (India Standard Time),70756-629-25,PHENYLEPHRINE HCL OPH SOLN., USP, 2.5%,Non-controlled,MANKIND PHARMA LTD- UNIT 3(BLOCK D),B5JXV002,Sat Aug 31 2024 05:30:00 GMT+0530 (India Standard Time),192,2ML,0,32.5,0,6240,0,6240,03/2023,LPMCK001,RM0456411,Sun Dec 31 2023 05:30:00 GMT+0530 (India Standard Time),,,0001020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,08691,,1ZA02E120305019468 1ZA02E120305019468 1ZA02E120305019468,,
0006027778,Wed Mar 01 2023 05:30:00 GMT+0530 (India Standard Time),0001027911,0020127845,0001020909,MCKESSON FINANCIAL CENTER,8155947714,Tue Feb 28 2023 05:30:00 GMT+0530 (India Standard Time),70756-610-30,OFLOXACIN OTIC SOLUTION, 0.3%(10ML FILL),Non-controlled,MANKIND PHARMA LTD- UNIT 3(BLOCK D),A9JXV014,Thu Oct 31 2024 05:30:00 GMT+0530 (India Standard Time),288,10ML,0,30,0,8640,0,8640,03/2023,LPMCK001,RM0456411,Sun Dec 31 2023 05:30:00 GMT+0530 (India Standard Time),,,0001020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,08691,,,,
0006027778,Wed Mar 01 2023 05:30:00 GMT+0530 (India Standard Time),0001027911,0020127845,0001020909,MCKESSON FINANCIAL CENTER,8155947714,Tue Feb 28 2023 05:30:00 GMT+0530 (India Standard Time),70756-424-11,DOXEPIN HCL CAPS, USP 10 MG 100S,Non-controlled,MANKIND PHARMA LTD UNIT-3,4CJKV009,Mon Sep 30 2024 05:30:00 GMT+0530 (India Standard Time),120,100CT.,0,17.25,0,2070,0,2070,03/2023,LPMCK001,RM0456411,Sun Dec 31 2023 05:30:00 GMT+0530 (India Standard Time),,,0001020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,08691,,,,
0006027778,Wed Mar 01 2023 05:30:00 GMT+0530 (India Standard Time),0001027911,0020127845,0001020909,MCKESSON FINANCIAL CENTER,8155947714,Tue Feb 28 2023 05:30:00 GMT+0530 (India Standard Time),70756-425-11,DOXEPIN HCL CAPS, USP 25 MG 100S,Non-controlled,MANKIND PHARMA LTD UNIT-3,8CJKV004,Sat Aug 31 2024 05:30:00 GMT+0530 (India Standard Time),48,100CT.,0,21.56,0,1034.88,0,1034.88,03/2023,LPMCK001,RM0456411,Sun Dec 31 2023 05:30:00 GMT+0530 (India Standard Time),,,0001020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,08691,,,,
0006027778,Wed Mar 01 2023 05:30:00 GMT+0530 (India Standard Time),0001027911,0020127845,0001020909,MCKESSON FINANCIAL CENTER,8155947714,Tue Feb 28 2023 05:30:00 GMT+0530 (India Standard Time),70756-426-11,DOXEPIN HCL CAPS, USP 50 MG 100S,Non-controlled,MANKIND PHARMA LTD UNIT-3,2DJKV004,Mon Sep 30 2024 05:30:00 GMT+0530 (India Standard Time),24,100CT.,0,32.34,0,776.16,0,776.16,03/2023,LPMCK001,RM0456411,Sun Dec 31 2023 05:30:00 GMT+0530 (India Standard Time),,,0001020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,08691,,,,
0006027778,Wed Mar 01 2023 05:30:00 GMT+0530 (India Standard Time),0001027911,0020127845,0001020909,MCKESSON FINANCIAL CENTER,8155947714,Tue Feb 28 2023 05:30:00 GMT+0530 (India Standard Time),70756-427-11,DOXEPIN HCL CAPS, USP 75 MG 100S,Non-controlled,MANKIND PHARMA LTD UNIT-3,6DJKV003,Tue Apr 30 2024 05:30:00 GMT+0530 (India Standard Time),24,100CT.,0,49.59,0,1190.16,0,1190.16,03/2023,LPMCK001,RM0456411,Sun Dec 31 2023 05:30:00 GMT+0530 (India Standard Time),,,0001020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,08691,,,,
