Cleared/Open Items Symbol,Account,Reference,Trading partner,Document Number,Document type,Assignment,Business Area,Credit control area,Document Date,Posting Date,Special G/L Ind.,Net Due Date Symbol,Amount in Local Currency,Local Currency,Clearing Document,Text
,1018504,90881666,,197,U4,WGC22120130095-DS,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-2.81,USD,,
,1018504,90881667,,198,U4,WGC22180139064,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-2301.94,USD,,
,1018504,90881668,,199,U4,WGC22190140474,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-1385.47,USD,,
,1018504,90881669,,200,U4,WGC22200141869,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-1532.14,USD,,
,1018504,90881670,,201,U4,WGC22210143170,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-843.8,USD,,
,1018504,90881671,,202,U4,WGC22240147326,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-3701.23,USD,,
,1018504,90881672,,203,U4,WGC22250148640,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-1468.8,USD,,
,1018504,90881673,,204,U4,WGC22260149934,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-2609.86,USD,,
,1018504,90881674,,205,U4,WGC22270151319,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-4660.59,USD,,
,1018504,90881675,,206,U4,WGC22290154074,5100,5000,Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),Sun Apr 30 2023 05:30:00 GMT+0530 (India Standard Time),,,-3774.87,USD,,
